Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
114,6.936193,24.4658489,5.626549081,7.02531318,7.50364792,10.01824916,5.8503263
115,6.936193,24.4658489,5.626549081,7.05763578,7.63692092,10.03379686,5.8503263
116,6.936193,24.4658489,5.626549081,7.07029188,7.67051812,10.10267816,5.8503263
117,6.936193,24.4658489,5.626549081,7.16472748,7.70572692,10.15938476,5.8503263
118,6.936193,24.4658489,5.626549081,7.32839548,7.80726092,10.33034976,5.8503263
119,6.936193,24.4658489,5.626549081,7.38345358,7.83201242,10.48096276,5.8503263
120,6.936193,24.4658489,5.626549081,7.45061008,7.94661842,10.71956776,5.8503263
121,6.936193,24.4658489,5.626549081,7.54588798,8.04060842,10.82102376,5.8503263
122,6.936193,24.4658489,5.626549081,7.57209618,8.06696252,10.89322226,5.8503263
123,6.936193,24.4658489,5.626549081,7.60013648,8.16564482,11.10417726,5.8503263
124,6.936193,24.4658489,5.626549081,7.64447238,8.18882242,11.13814086,5.8503263
125,6.936193,24.4658489,5.626549081,7.75777238,8.24602122,11.25117786,5.8503263
126,6.936193,24.4658489,5.626549081,7.76682841,8.32577332,11.34001026,5.8503263
127,6.936193,24.4658489,5.626549081,7.81461401,8.47044732,11.35093656,5.8503263
128,6.936193,24.4658489,5.626549081,7.82284154,8.60841432,11.40006746,5.8503263
129,6.936193,24.4658489,5.626549081,7.85699344,8.65267562,11.50125546,5.8503263
130,6.936193,24.4658489,5.626549081,7.85958354,8.68527462,11.50921796,5.8503263
131,6.936193,24.4658489,5.626549081,7.87892934,8.73384342,11.56527136,5.8503263
132,6.936193,24.4658489,5.626549081,7.93429434,8.96329442,11.61920126,5.8503263
133,6.936193,24.4658489,5.626549081,8.03027134,9.06064902,11.64924566,5.8503263
134,6.936193,24.4658489,5.626549081,8.13313434,9.13972932,11.71536926,5.8503263
135,6.936193,24.4658489,5.626549081,8.20399334,9.17164592,11.76640536,5.8503263
136,6.936193,24.4658489,5.626549081,8.25882884,9.26310192,11.78765296,5.8503263
137,6.936193,24.4658489,5.626549081,8.27350014,9.31209882,11.88815296,5.8503263
138,6.936193,24.4658489,5.626549081,8.37288224,9.31557766,11.96123506,5.8503263
139,6.936193,24.4658489,5.626549081,8.42529874,9.35084586,12.07269606,5.8503263
140,6.936193,24.4658489,5.626549081,8.47887504,9.38409706,12.08776726,5.8503263
141,6.936193,24.4658489,5.626549081,8.62996104,9.64780106,12.13667166,5.8503263
142,6.936193,24.4658489,5.626549081,8.81683604,9.77893306,12.34637466,5.8503263
143,6.936193,24.4658489,5.626549081,8.94792604,9.86286336,12.46175866,5.8503263
144,6.936193,24.4658489,5.626549081,9.01005824,10.03122436,12.57133766,5.8503263
145,6.936193,24.4658489,5.626549081,9.03391834,10.10294236,12.64879526,5.8503263
146,6.936193,24.4658489,5.626549081,9.09527344,10.17049546,12.77656226,5.8503263
147,6.936193,24.4658489,5.626549081,9.13660604,10.27060746,12.99638926,5.8503263
148,6.936193,24.4658489,5.626549081,9.16080354,10.35344666,13.13894026,5.8503263
149,6.936193,24.4658489,5.626549081,9.17909544,10.39700936,13.20892516,5.8503263
150,6.936193,24.4658489,5.626549081,9.18946194,10.42634546,13.23544896,5.8503263
151,6.936193,24.4658489,5.626549081,9.20275754,10.52328856,13.28216756,5.8503263
152,6.936193,24.4658489,5.626549081,9.27593054,10.60005296,13.39259256,5.8503263
153,6.936193,24.4658489,5.626549081,9.35893854,10.71790796,13.44380396,5.8503263
154,6.936193,24.4658489,5.626549081,9.42932844,10.84492096,13.64561496,5.8503263
155,6.936193,24.4658489,5.626549081,9.49929194,10.91489116,13.92033296,5.8503263
156,6.936193,24.4658489,5.626549081,9.54471024,11.08911716,14.05956896,5.8503263
157,6.936193,24.4658489,5.626549081,9.60465904,11.12173736,14.08706636,5.8503263
158,6.936193,24.4658489,5.626549081,9.67873784,11.20524646,14.12737606,5.8503263
159,6.936193,24.4658489,5.626549081,9.75790574,11.48261046,14.19978246,5.8503263
160,6.936193,24.4658489,5.626549081,9.85476194,11.65502946,14.25862686,5.8503263
161,6.936193,24.4658489,5.626549081,9.87669074,11.68210866,14.27390916,5.8503263
162,6.936193,24.4658489,5.626549081,9.90997184,11.72191096,14.41998416,5.8503263
163,6.936193,24.4658489,5.626549081,10.02305884,11.84435996,14.59192316,5.8503263
164,6.936193,24.4658489,5.626549081,10.02956736,11.87811286,14.68386126,5.8503263
165,6.936193,24.4658489,5.626549081,10.11256486,11.90710316,14.71071066,5.8503263
166,6.936193,24.4658489,5.626549081,10.17871686,11.97078686,14.73286136,5.8503263
167,6.936193,24.4658489,5.626549081,10.19173546,11.99107176,14.7418819,5.8503263
168,6.936193,24.4658489,5.626549081,10.21973296,12.03426146,14.8772019,5.8503263
169,6.936193,24.4658489,5.626549081,10.32439896,12.09140216,15.0388399,5.8503263
170,6.936193,24.4658489,5.626549081,10.40840966,12.14868276,15.1144056,5.8503263
171,6.936193,24.4658489,5.626549081,10.58208866,12.33098976,15.1760001,5.8503263
172,6.936193,24.4658489,5.626549081,10.71128566,12.41635736,15.2746728,5.8503263
173,6.936193,24.4658489,5.626549081,10.80432396,12.55992236,15.3008266,5.8503263
174,6.936193,24.4658489,5.626549081,10.91735396,12.75468436,15.4395436,5.8503263
