Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
56,16.1927111,1.60194014,1.22846419,22.49845228,1.91559366,28.60760115,1.5467792,1.44970554,1.11168921,0.98895513,1.27814718,26.9044373
57,16.4342681,1.62293294,1.2330858,24.39312228,1.94448726,29.08460315,1.5686411,1.47673784,1.12643071,1.00079973,1.31171508,26.9941936
58,16.6760441,1.65319164,1.2571906,26.07340228,1.99120816,29.47350515,1.590503,1.4855321,1.13222973,1.01205613,1.31706425,27.0404316
59,17.0639271,1.66576234,1.2848908,27.47034228,2.00518796,29.64718415,1.6234366,1.5165353,1.14399503,1.03501153,1.33718475,27.0552563
60,17.2377411,1.67068898,1.3040621,28.90288228,2.01916776,29.74967915,1.6423131,1.5522788,1.15350735,1.03643449,1.36676505,27.1680603
61,17.5104001,1.68182388,1.3359902,30.11251228,2.03510576,29.94793515,1.6637452,1.5661736,1.16501095,1.06183879,1.39634535,27.3936383
62,17.5852132,1.68945614,1.3668368,30.99989628,2.06256486,30.19794615,1.67250644,1.57288368,1.17349618,1.09280599,1.41136275,27.7442803
63,17.6583081,1.74625374,1.3977135,32.18360628,2.10521686,30.41651815,1.70507234,1.59097708,1.22442918,1.11953129,1.48901005,28.1996133
64,17.6762916,1.76243614,1.40487922,32.63967228,2.11940366,30.54588015,1.75107734,1.62143928,1.23571238,1.17028599,1.48901005,28.8686033
65,17.7298267,1.78297154,1.42086322,33.19199828,2.18629406,30.55869245,1.78156794,1.62907719,1.25280628,1.18588009,1.48901005,29.6506663
66,17.7785785,1.80187364,1.42443239,33.63811228,2.29987506,30.66709145,1.80502544,1.63680293,1.26472338,1.19644949,1.48901005,30.6586463
67,18.0249965,1.84214004,1.44502529,33.67642228,2.31770396,30.80715745,1.82828424,1.66996583,1.2669286,1.21457849,1.50583905,31.6200733
68,18.2942245,1.86278004,1.45252203,35.01296228,2.35494906,30.87956365,1.83987414,1.69323703,1.3128248,1.2241474,1.52544325,32.2775043
69,18.5467435,1.88924144,1.47295683,35.94870428,2.46009506,30.92936215,1.86198054,1.70370063,1.3401265,1.2478777,1.53838005,32.8199223
70,18.6521255,1.91963854,1.52604913,36.53551128,2.46647063,31.02576055,1.89224364,1.72083483,1.3613709,1.2793128,1.59328255,33.2871393
71,18.6906605,1.93451824,1.58851583,37.29331628,2.48155783,31.10759205,1.92328544,1.75735333,1.3931996,1.3003714,1.60263584,33.6763863
72,18.7417018,1.99887634,1.60198943,37.89428428,2.54722573,31.22519805,1.97667544,1.82871913,1.4339756,1.3315424,1.64448274,33.7726519
73,18.8674038,2.01579644,1.63157943,38.92474428,2.57622413,31.25379885,2.00810244,1.84650563,1.4543388,1.3542627,1.66137634,33.9869229
74,18.9122357,2.03672704,1.65042613,40.05072428,2.60620543,31.34473275,2.01261976,1.89522853,1.4784095,1.378235,1.68192084,34.0781372
75,19.0423367,2.05380874,1.67400073,41.28041428,2.63854963,31.40194715,2.03606986,1.92674833,1.5013345,1.38526519,1.69731284,34.2183482
76,19.2319837,2.06390724,1.70538053,42.21749828,2.73388823,31.47343875,2.06288696,1.96182903,1.5308319,1.39531639,1.70857784,34.2747493
77,19.6571757,2.07149761,1.72243103,42.59548828,2.82282953,31.50159395,2.09785096,1.98990553,1.53305536,1.41187079,1.73385154,34.3814803
78,20.1089687,2.09067361,1.74560653,43.12529028,2.87057213,31.52703805,2.11902076,1.99634673,1.54129591,1.41671148,1.79780434,34.4813874
79,20.8587277,2.09067361,1.75587913,43.46740128,2.96227103,31.54511665,2.13138276,2.02733683,1.54619782,1.43639268,1.82789454,34.567374
80,21.0886147,2.09746498,1.79290593,43.77120028,3.01433563,31.59289375,2.18251096,2.05214363,1.57827522,1.45172078,1.83410707,34.6551549
81,21.5882327,2.11279748,1.79290593,44.15127428,3.06054093,31.62102545,2.19685226,2.07346453,1.59579672,1.46780598,1.8403196,34.7914559
82,21.8155407,2.12471988,1.81165953,44.44084328,3.10755233,31.66768555,2.20942296,2.12419303,1.60301932,1.48383968,1.8567038,34.829032
83,21.8817093,2.15146338,1.83840473,44.71378528,3.11949493,31.73721445,2.22738796,2.13707283,1.61874152,1.50159178,1.8947548,34.971691
84,21.93866,2.16307218,1.85924243,45.03686228,3.12541345,31.76776605,2.23915646,2.15897143,1.62693753,1.52912768,1.8947548,35.111926
85,22.108552,2.18026868,1.87175563,45.38479028,3.15855885,31.79663315,2.24618691,2.23179603,1.64385473,1.52912768,1.9064308,35.195339
86,22.1805865,2.19219108,1.88787523,46.34954028,3.21658695,31.84198015,2.27028711,2.27361283,1.644770608,1.54884948,1.91580615,35.388141
87,22.3001535,2.19219108,1.92712513,47.16032528,3.22265271,31.88824735,2.31404391,2.31751273,1.661448208,1.56747828,1.94787265,35.658031
88,22.3858489,2.19978145,1.93841763,47.57429328,3.23273291,31.91831305,2.32566971,2.33395723,1.674746508,1.59265298,1.97056075,35.945325
89,22.4413031,2.21569655,1.95252003,47.86175628,3.29002011,31.96609305,2.34763881,2.39507323,1.681149518,1.62902518,1.97762615,36.140838
90,22.539365,2.23434845,1.98677783,48.14351328,3.34456341,31.99968295,2.36472441,2.39840102,1.698671018,1.65776808,1.98423671,36.324882
91,22.57057,2.25986975,1.99095513,48.36007028,3.37841961,32.00937602,2.38394551,2.41428092,1.723026018,1.66776133,2.00113031,36.507899
92,22.711066,2.29206475,2.03770853,48.52622428,3.41735011,32.02273992,2.39426101,2.44465722,1.727762728,1.67243895,2.01802391,36.5446108
