Unnamed: 0,WT,WT,WT,WT,WT,WT,WT
TEMP,0.0,0.0,0.0,2.2059761,2.5558817,3.0197154,0.0
TEMP,0.0,0.0,0.0,2.4230728,2.2995327,3.1035734,0.0
TEMP,0.0,0.0,0.0,2.1385694,2.1356885,2.8369984,0.0
TEMP,0.0,0.0,0.0,1.8744978,2.2857935,3.3674664,0.0
TEMP,0.0,0.0,0.0,1.8556588,2.0535091,3.3563834,0.0
TEMP,0.0,0.0,0.0,2.098355,1.8255101,3.648565,0.0
TEMP,0.0,0.0,0.0,2.0875655,1.9638391,3.708359,0.0
TEMP,0.0,0.0,0.0,1.9477525,2.2919131,3.5711527,0.0
TEMP,0.0,0.0,0.0,1.4818879,2.4011061,3.2060077,0.0
TEMP,0.0,0.0,0.0,1.4192299,2.4595784,3.0578777,0.0
TEMP,0.0,0.0,0.0,1.2257206,2.2137986,2.3666288,0.0
TEMP,0.0,0.0,0.0,0.9981473,2.0776686,2.2305548,0.0
TEMP,0.0,0.0,0.0,1.0855317,2.6863628,2.1758028,0.0
TEMP,0.0,0.0,0.0,1.2891423,2.6823838,1.6336036,0.0
TEMP,0.0,0.0,0.0,1.4645513,2.8499282,1.7299896,0.0
TEMP,0.0,0.0,0.0,1.3373513,2.7741563,1.5441686,0.0
TEMP,0.0,0.0,0.0,1.4745548,2.8092333,1.3416131,0.0
TEMP,0.0,0.0,0.0,1.3753095,2.5224833,1.6100724,0.0
TEMP,0.0,0.0,0.0,1.6485061,2.1194136,1.6818554,0.0
TEMP,0.0,0.0,0.0,1.7032461,2.0924606,1.7126454,0.0
TEMP,0.0,0.0,0.0,1.8560544,2.0944153,1.7339507,0.0
TEMP,0.0,0.0,0.0,2.2508877,2.7391883,1.7125257,0.0
TEMP,0.0,0.0,0.0,2.6450327,2.4445203,2.1793867,0.0
TEMP,0.0,0.0,0.0,2.7502687,2.4042863,2.4351549,0.0
TEMP,0.0,0.0,0.0,2.6281957,2.6718653,2.5653939,0.0
TEMP,0.0,0.0,0.0,2.4873371,2.7911522,2.6445809,0.0
TEMP,0.0,0.0,0.0,2.5068771,2.7195142,2.9638274,0.0
TEMP,0.0,0.0,0.0,2.5867824,2.8727102,3.3214564,0.0
TEMP,0.0,0.0,0.0,2.3614487,3.1105579,3.5296584,0.0
TEMP,0.0,0.0,0.0,2.2591757,3.1354169,3.4053504,0.0
TEMP,0.0,0.0,0.0,2.1296737,3.1236832,3.4396744,0.0
TEMP,0.0,0.0,0.0,1.7167074,2.6238902,3.4331234,0.0
TEMP,0.0,0.0,0.0,1.3759344,2.4609472,3.1355814,0.0
TEMP,0.0,0.0,0.0,1.2318294,2.5626212,2.9432524,0.0
TEMP,0.0,0.0,0.0,1.2565784,2.4386992,3.2196754,0.0
TEMP,0.0,0.0,0.0,1.394753,2.4334612,3.8108764,0.0
TEMP,0.0,0.0,0.0,1.34699,2.7531652,3.8452474,0.0
TEMP,0.0,0.0,0.0,1.402784,2.5508871,3.2688237,0.0
TEMP,0.0,0.0,0.0,1.5522817,2.5528951,2.9624007,0.0
TEMP,0.0,0.0,0.0,1.7347307,3.2536111,2.9696587,0.0
TEMP,0.0,0.0,0.0,1.9939457,3.6824399,3.0665253,0.0
TEMP,0.0,0.0,0.0,2.01982,3.4730539,2.9723083,0.0
TEMP,0.0,0.0,0.0,1.9002617,3.3622759,3.0791553,0.0
TEMP,0.0,0.0,0.0,1.9904107,3.3760469,3.4409823,0.0
TEMP,0.0,0.0,0.0,1.7989541,3.0965409,3.1116873,0.0
TEMP,0.0,0.0,0.0,1.8380181,2.9737216,2.3688107,0.0
TEMP,0.0,0.0,0.0,1.9001581,2.6424206,2.0178999,0.0
TEMP,0.0,0.0,0.0,1.7595055,2.6054509,1.9625237,0.0
TEMP,0.0,0.0,0.0,1.6213968,2.4846109,2.2472757,0.0
TEMP,0.0,0.0,0.0,1.6978178,1.8245889,2.5147077,0.0
TEMP,0.0,0.0,0.0,1.6593188,1.4795119,2.5648227,0.0
TEMP,0.0,0.0,0.0,2.1141248,1.9447399,2.7036237,0.0
TEMP,0.0,0.0,0.0,2.4015901,2.0813019,2.5615547,0.0
TEMP,0.0,0.0,0.0,2.3415031,2.1445869,2.1246282,0.0
TEMP,0.0,0.0,0.0,2.6607547,2.6271409,2.2648272,0.0
TEMP,0.0,0.0,0.0,2.5079694,2.635897,2.4053158,0.0
TEMP,0.0,0.0,0.0,2.3634648,2.5383222,2.3561698,0.0
TEMP,0.0,0.0,0.0,2.3621135,2.4924371,2.3813681,0.0
TEMP,0.0,0.0,0.0,2.3255366,2.436343,2.0950261,0.0
TEMP,0.0,0.0,0.0,2.1755726,2.445541,1.6657268,0.0
TEMP,0.0,0.0,0.0,1.9830855,2.542354,1.7298958,0.0
TEMP,0.0,0.0,0.0,1.5307588,2.194342,1.7347268,0.0
TEMP,0.0,0.0,0.0,1.2653348,2.34095,2.0357578,0.0
TEMP,0.0,0.0,0.0,1.2251138,2.157589,2.4276113,0.0
TEMP,0.0,0.0,0.0,1.0638208,1.6354849,2.2045313,0.0
TEMP,0.0,0.0,0.0,1.0248219,2.4380181,2.0930173,0.0
TEMP,0.0,0.0,0.0,0.9882648,2.9807329,2.4172121,0.0
TEMP,0.0,0.0,0.0,1.000273,3.0901908,2.6741087,0.0
TEMP,0.0,0.0,0.0,1.1132666,3.4746449,2.5961538,0.0
TEMP,0.0,0.0,0.0,0.9791272,3.4095189,2.6486791,0.0
TEMP,0.0,0.0,0.0,1.1070803,3.3836599,2.3729168,0.0
TEMP,0.0,0.0,0.0,1.177155,3.4980749,2.3799818,0.0
TEMP,0.0,0.0,0.0,1.1214524,3.3395149,1.8356276,0.0
TEMP,0.0,0.0,0.0,0.9939704,3.3365019,1.4632508,0.0
TEMP,0.0,0.0,0.0,0.9431764,3.391461,1.363731,0.0
TEMP,0.0,0.0,0.0,1.1437326,2.660188,1.694279,0.0
TEMP,0.0,0.0,0.0,1.2639423,2.280902,1.858033,0.0
TEMP,0.0,0.0,0.0,1.397622,2.625717,1.714039,0.0
TEMP,0.0,0.0,0.0,1.369229,2.462815,1.7801149,0.0
TEMP,0.0,0.0,0.0,1.3980565,2.483431,1.8448099,0.0
TEMP,0.0,0.0,0.0,1.3011029,2.363678,1.9070632,0.0
TEMP,0.0,0.0,0.0,1.2147913,2.573361,1.8771792,0.0
TEMP,0.0,0.0,0.0,1.2517949,2.329461,2.2174494,0.0
TEMP,0.0,0.0,0.0,1.15029235,2.085561,2.8741892,0.0
TEMP,0.0,0.0,0.0,1.23032635,1.968992,3.060294,0.0
TEMP,0.0,0.0,0.0,1.03115695,1.80209,2.6996934,0.0
TEMP,0.0,0.0,0.0,1.20484495,1.806029,2.3695804,0.0
TEMP,0.0,0.0,0.0,1.39820295,1.336846,2.6675644,0.0
