"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"84",10.79393753,5.16924342,2.62895023,14.63595616,8.10623678,2.6359493,7.25891626,8.71180209,11.0066817,7.894392015,4.70514584,14.5186766
"85",10.83720183,5.18032692,2.64498563,14.72254646,8.12368438,2.6644521,7.33838306,8.83091409,11.2443667,7.940176315,4.78001814,15.0017716
"86",10.87866483,5.19147512,2.68116893,15.02613446,8.15307358,2.66956076,7.37563526,8.85542169,11.2696887,7.948955425,4.79677964,15.5385416
"87",10.91316483,5.19944026,2.68643492,15.34819246,8.16305797,2.69652366,7.43951226,8.93182299,11.2960779,7.978425025,4.81672494,16.7205316
"88",10.95069233,5.26905486,2.70276372,15.54042446,8.23257837,2.70339622,7.49539236,9.00013489,11.4730909,8.013669025,4.83791214,16.7605396
"89",10.99120993,5.27608443,2.73059492,15.73932346,8.28313607,2.72160442,7.53365066,9.05851669,11.559303,8.029992325,4.84784741,17.6909736
"90",11.02142473,5.30935013,2.76574282,16.15025846,8.32499837,2.75431452,7.55058026,9.17643569,11.6217799,8.080001125,4.848368139,18.6214076
"91",11.05287433,5.35472933,2.78986452,16.20899336,8.40296597,2.77752662,7.63349576,9.21586589,11.7144224,8.112550525,4.874727739,18.6214076
"92",11.08922783,5.36748053,2.79239743,16.32078736,8.44444947,2.80327482,7.64560866,9.41271289,11.8821524,8.125274025,4.915418139,20.0349176
"93",11.11853523,5.38928413,2.83749763,16.62111636,8.45971817,2.84351742,7.70444306,9.51420989,12.0027824,8.137321225,4.967367839,20.3066116
"94",11.13779503,5.41396923,2.87446483,16.78046036,8.49687187,2.86938592,7.72620726,9.79875889,12.0462578,8.166259825,4.995776439,20.6823486
"95",11.15847703,5.49002993,2.91218343,16.88586036,8.51137747,2.89434332,7.74672996,10.14612089,12.0782202,8.179055925,5.008003239,21.4523846
"96",11.23805423,5.55932693,2.94371893,16.94854066,8.56144737,2.93894502,7.76872456,10.37773489,12.143556,8.247845225,5.029166539,23.2419546
"97",11.31080283,5.57041903,2.95717623,17.01502216,8.64940737,3.02912822,7.86763906,10.67202589,12.14911599,8.292223125,5.102783539,25.0315246
"98",11.34488843,5.65446663,2.96489782,17.10151956,8.71180947,3.09612372,7.98050006,11.03070489,12.17464189,8.311814425,5.159680439,25.0315246
"99",11.45988243,5.68801153,3.02352262,17.21915056,8.74854137,3.17512132,8.02030746,11.46895989,12.24203799,8.354298925,5.292656439,25.0315246
"100",11.53927393,5.70736513,3.03273207,17.28855616,8.78168157,3.23354842,8.14199646,11.84910289,12.28711899,8.389541925,5.340480939,25.0315246
"101",11.55951813,5.75337923,3.04302627,17.30759626,8.78525718,3.23812077,8.17987026,12.23136389,12.32733019,8.440704225,5.358067039,25.0315246
"102",11.57393913,5.80392613,3.05984457,17.31194194,8.80708778,3.26060007,8.19774906,12.58152689,12.35227819,8.465496725,5.389755939,25.0315246
"103",11.63600453,5.84855723,3.06447752,17.38553694,8.84789778,3.30066307,8.22178986,12.93394589,12.40501959,8.521632725,5.421649539,25.0315246
"104",11.64104957,5.87622653,3.08238052,17.47539124,8.88278228,3.33715967,8.26567716,13.50968189,12.44431039,8.606422325,5.460395139,25.0315246
"105",11.72785077,5.92390463,3.11079892,17.52391434,8.90305218,3.34511606,8.29269516,13.69124689,12.46976289,8.623678325,5.501230339,25.1079017
"106",11.78178037,5.95719693,3.14537892,17.58162644,8.90925955,3.36818926,8.32916726,14.18291289,12.50761089,8.650540025,5.506732289,26.8500617
"107",11.83170247,6.00036983,3.15817762,17.63736074,8.94852505,3.42132596,8.35117006,14.43348689,12.53490849,8.712597025,5.512577109,27.1208187
"108",11.88104547,6.10542383,3.17482052,17.66494094,8.99565445,3.42761651,8.38459126,14.66617089,12.56201979,8.771307825,5.556044809,27.4327897
"109",11.91036257,6.19293693,3.25389832,17.69456974,9.09121085,3.46637351,8.43625706,15.01740789,12.59881239,8.861160425,5.569941309,28.2457487
"110",11.93255147,6.21359533,3.30924282,17.72289034,9.15647755,3.50860481,8.45330536,15.19112889,12.65330949,8.876280925,5.589661409,28.9116917
"111",11.94010526,6.22232675,3.34347842,17.77959914,9.17577085,3.55003821,8.46516686,15.55397089,12.68121179,8.909372825,5.629560809,29.0610997
"112",11.99630336,6.28237615,3.35989442,17.80564764,9.18550711,3.58669821,8.50645976,15.84329989,12.71382569,8.921669825,5.684367209,29.1975207
"113",12.04479556,6.31522455,3.39602172,17.82510454,9.29891811,3.62131801,8.56839896,16.08257189,12.79748649,8.940287125,5.700887609,29.3659737
"114",12.11001896,6.35465835,3.40157215,17.86575804,9.44895011,3.64849491,8.59606356,16.68085589,12.87269209,8.966771725,5.738361009,29.5971137
"115",12.16751826,6.38061435,3.40286966,17.98102704,9.50452461,3.68130771,8.66015496,16.73881279,12.89777289,9.020033125,5.763910009,29.7477417
"116",12.1737502,6.39632125,3.41685536,18.03158944,9.50863612,3.69002755,8.67637786,17.03911379,12.99577419,9.083316225,5.821570709,29.8573247
"117",12.1986434,6.42803645,3.45347956,18.30586744,9.59704232,3.72090595,8.72906866,17.07635889,13.06811509,9.099853025,5.866384409,29.9955867
"118",12.20133694,6.44966765,3.56104956,18.43637944,9.69819532,3.75322835,8.75504246,17.12783079,13.11542239,9.172793825,5.871714599,30.1877287
"119",12.21183124,6.45611074,3.65258636,18.55292944,9.71801542,3.78805185,8.79268226,17.18115309,13.17551869,9.241458725,5.877232999,30.4856127
"120",12.22593734,6.48590994,3.67939666,18.73973544,9.76792852,3.89627085,8.87877346,17.23380239,13.28788269,9.303665225,5.896045899,30.5278788
