Unnamed: 0,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ,PTZ
TEMP,6.929159,0.6037045,0.8479367,22.53402,1.5050538,1.8454543,0.8074149,0.9699581,0.61760845,0.5649916,0.8676928,5.237228
TEMP,7.302308,0.5329568,0.7997877,21.685826,1.6419868,1.6997333,0.8699485,0.9929536,0.65007575,0.5167178,0.7217661,4.100033
TEMP,8.684206,0.5343139,0.6125707,20.553736,1.7352495,1.5387917,0.8198962,0.9474057,0.60719645,0.5018124,0.712353,3.341936
TEMP,9.212488,0.377161,0.6283952,19.620453,1.6793345,1.3261617,0.6975585,0.8855547,0.50663505,0.4564449,0.6360394,3.16604
TEMP,9.034062,0.4066022,0.6198691,17.350127,1.628217,1.4488254,0.6572119,0.8708492,0.49272585,0.4415549,0.6994491,2.951416
TEMP,9.070383,0.378664,0.6258361,14.943769,1.5560993,1.2678563,0.6789441,0.7904545,0.44514855,0.4522352,0.6378759,3.098334
TEMP,9.189639,0.3790081,0.5926843,12.301069,1.5585007,1.1828977,0.6297335,0.9142478,0.42714275,0.4311653,0.6267387,2.928106
TEMP,8.837147,0.3844745,0.5469485,12.383989,1.4466787,1.1045407,0.6215907,0.9344368,0.3414821,0.4601485,0.6210752,3.336908
TEMP,7.921168,0.3617257,0.6134811,13.681099,1.1982951,1.1588239,0.6479437,0.9818607,0.38480195,0.4663656,0.6414338,3.825906
TEMP,6.823952,0.3270028,0.577867,13.333939,1.0854181,1.1726752,0.6193397,1.0118412,0.39996025,0.5273077,0.5177615,4.387517
TEMP,4.743082,0.3747015,0.5893451,13.170155,0.9822841,1.2616926,0.6481327,1.1021299,0.40445915,0.5773318,0.4487547,4.715774
TEMP,4.347995,0.4102482,0.5810461,13.104092,0.9897131,1.2191726,0.5461052,1.03775578,0.36083425,0.6175367,0.4499477,5.004281
TEMP,2.9441285,0.4407846,0.5935657,12.614026,0.9527021,1.1639109,0.5607301,1.02144868,0.38131455,0.5992787,0.4819597,5.144291
TEMP,2.6839465,0.501543,0.677483,12.244142,0.9284831,1.0641204,0.5539709,0.96045138,0.37386415,0.5652439,0.4834866,5.141701
TEMP,2.6256905,0.4441399,0.7655959,11.744595,0.9398176,0.9512774,0.527305,1.07390378,0.40810655,0.5668775,0.3913251,4.96881
TEMP,2.7585015,0.4320965,0.722947,10.8281961,0.9793401,1.0354265,0.6216661,1.09781798,0.48338455,0.50141,0.4758469,4.6466307
TEMP,2.3858325,0.42651,0.7529427,10.2278631,0.9740636,1.0730611,0.6155796,0.98269198,0.47908485,0.5368615,0.4733143,4.5896007
TEMP,2.3748035,0.4221138,0.751259,7.4369461,0.9710156,0.9929545,0.5907655,0.96858998,0.5151972,0.48296127,0.4805539,4.0704627
TEMP,2.0164525,0.4721784,0.6775892,5.2721561,1.0506736,0.9175463,0.5307291,0.89044998,0.531606,0.45024187,0.3844485,3.4106467
TEMP,1.8835175,0.5053305,0.6721013,4.2476401,1.0727389,0.864041,0.549728,0.93444698,0.5631938,0.40839387,0.3727893,2.7320967
TEMP,1.9535795,0.5192393,0.6636759,3.7474261,1.1299369,0.835809,0.5132902,0.86767898,0.6815816,0.33298587,0.4123519,2.2715997
TEMP,1.8539685,0.4633384,0.641492,3.1422521,1.0763169,1.825808,0.4988816,0.9905854,0.6528907,0.26995397,0.5316416,2.0474337
TEMP,1.902604,0.3868495,0.6289724,2.8136101,1.0816549,5.8519373,0.4601706,1.0978174,0.7069262,0.28044247,0.5301147,1.5568447
TEMP,1.5444407,0.290359,0.49683968,2.6283531,0.96794475,7.9432948,0.49701,1.0387526,0.826135,0.29841467,0.4981027,1.7484537
TEMP,1.4043847,0.296317,0.37176048,2.7409881,0.94920025,9.1346158,0.5602296,0.9436761,0.75083995,0.25808477,0.4948425,1.5930069
TEMP,1.2217857,0.3088219,0.38656288,3.079694,0.95879725,9.7817178,0.468218,0.9770666,0.67494025,0.28910777,0.460952,1.5941144
TEMP,1.1499156,0.312434,0.36329408,3.148959,0.88123195,10.1856748,0.46034014,1.0462366,0.68430965,0.29864947,0.4666436,1.5255424
TEMP,0.9907228,0.357769,0.34416028,3.906207,0.82228195,10.9506404,0.50025944,1.0527516,0.66425725,0.3094982,0.4901876,1.4668404
TEMP,1.1159298,0.3574265,0.49326708,3.7337794,0.83691155,11.3209316,0.52306084,1.0696031,0.62505315,0.29159307,0.4901876,1.9116834
TEMP,1.1727678,0.3242744,0.49906408,3.6779214,0.91320525,11.707387,0.62910674,1.0315337,0.60658185,0.27249897,0.4882942,2.1963414
TEMP,1.0812568,0.3204901,0.48336648,3.8158104,0.77059805,12.09351,0.73824484,1.0157487,0.57907085,0.27088827,0.503868,2.2592884
TEMP,0.966939,0.4260021,0.44515098,4.2259884,0.70019715,11.653529,0.85431294,1.1030617,0.73398555,0.27976727,0.484412,2.0927744
TEMP,0.9012494,0.4876096,0.44515098,5.1513764,0.65880275,7.94466,0.84306841,1.0007645,0.74036155,0.26321107,0.5674326,2.4062074
TEMP,0.9148081,0.4876096,0.4371607,5.4478084,0.6957418,6.087559,0.80495231,1.1489736,0.70730755,0.25510247,0.605842,2.4343544
TEMP,0.9912775,0.4963527,0.4194682,5.1561114,0.67482418,5.024677,0.75008881,1.1442836,0.8468206,0.25510247,0.6442514,2.8848122
TEMP,0.9468499,0.4817297,0.3848628,4.9846114,0.66942648,4.570318,0.78731971,1.0567839,0.9329453,0.25515407,0.5936201,3.203485
