Unnamed: 0,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT,WT
111,39.3441871,10.3483472,7.03279404,5.2815,10.33548424,11.1498504,10.3156698,16.8590438,5.17322909,12.81005572,5.03907025,11.92317543
112,39.3441871,10.3483472,7.11806074,5.2815,10.44962024,11.1652338,10.6054038,16.9171826,5.21720399,13.04078572,5.06359005,12.17013943
113,39.3441871,10.3483472,7.13266144,5.2815,10.46392394,11.2829388,10.9003218,17.0256836,5.28002689,13.15401972,5.07484935,12.32707843
114,39.3441871,10.3483472,7.25828944,5.2815,10.68730994,11.3198035,11.0818518,17.2684436,5.35188879,13.30120272,5.12937795,12.35420963
115,39.3441871,10.3483472,7.31148224,5.2815,10.75195284,11.3574018,11.2783688,17.3941416,5.42075939,13.34160332,5.17331475,12.37020123
116,39.3441871,10.3483472,7.40211094,5.2815,10.86262984,11.4317701,11.4543838,17.5901096,5.51913839,13.35913682,5.18947615,12.40779223
117,39.3441871,10.3483472,7.50985094,5.2815,10.88617794,12.2186141,11.4727312,17.6418122,5.53710009,13.40414642,5.23105195,12.41989323
118,39.3441871,10.3483472,7.54081434,5.2815,11.00658294,12.4557821,11.5525346,17.6550962,5.54372127,13.42084852,5.24039877,12.52829323
119,39.3441871,10.3483472,7.65855034,5.2815,11.02160434,12.7251491,11.7415606,17.6844466,5.56633357,13.48239582,5.24934293,12.64415923
120,39.3441871,10.3483472,7.76050434,5.2815,11.04221324,12.9018401,11.8243264,17.7824605,5.59901547,13.50693112,5.26719473,12.66593023
121,39.3441871,10.3483472,7.87659134,5.2815,11.05716814,13.0513571,11.8673443,18.0526065,5.64124657,13.58392612,5.28533723,12.67480719
122,39.3441871,10.3483472,7.91896814,5.2815,11.10058274,13.1370705,11.9479066,18.3188155,5.69794577,13.68131092,5.30963353,12.69812499
123,39.3441871,10.3483472,8.00736174,5.2815,11.13771114,13.1696802,11.9778707,18.3742421,5.73610117,14.14841292,5.33410333,12.70283332
124,39.3441871,10.3483472,8.07597744,5.2815,11.21508944,13.2217947,12.0098103,18.4102803,5.79467767,14.29601892,5.34814923,12.70859723
125,39.3441871,10.3483472,8.09974964,5.2815,11.33500644,13.2394367,12.1898303,18.5045301,5.88276187,14.65918892,5.37152573,12.81615123
126,39.3441871,10.3483472,8.18631654,5.2815,11.40615404,13.2779501,12.4424313,18.6941171,5.89503237,15.02570992,5.39500803,12.87264053
127,39.3441871,10.3483472,8.29686354,5.2815,11.45869384,13.28444983,12.5520323,18.7658699,5.93617477,15.26488592,5.3972425,12.87814624
128,39.3441871,10.3483472,8.32146444,5.2815,11.55714314,13.29794613,12.6430342,18.9384419,6.04078177,15.52448492,5.4187459,12.89620994
129,39.3441871,10.3483472,8.48497544,5.2815,11.64134904,13.37716933,12.65217836,19.0936749,6.10155007,15.54994472,5.4363391,12.89808108
130,39.3441871,10.3483472,8.55005394,5.2815,11.65110002,13.49679833,12.74556356,19.2122179,6.14477957,15.56942682,5.44029546,12.95029478
131,39.3441871,10.3483472,8.58736454,5.2815,11.70702922,13.57705643,12.78645336,19.2814091,6.16373837,15.57488401,5.46594546,12.95592201
132,39.3441871,10.3483472,8.66285154,5.2815,11.73566382,13.58843483,13.01102436,19.3358412,6.19545267,15.66995941,5.49062196,12.97625491
133,39.3441871,10.3483472,8.83158354,5.2815,11.98066682,13.69580383,13.34556736,19.3711704,6.21137977,15.70566321,5.49445146,13.00726821
134,39.3441871,10.3483472,8.90840564,5.2815,12.37922182,13.72460933,13.52221336,19.4787534,6.24732237,15.75417181,5.50548476,13.03952491
135,39.3441871,10.3483472,9.03000964,5.2815,12.68483382,13.76321743,13.56958876,19.5259918,6.27008957,15.82782261,5.51124518,13.07233821
136,39.3441871,10.3483472,9.12767594,5.2815,12.92111782,13.79074293,13.58124246,19.5738698,6.27651736,15.91065801,5.53734478,13.09194711
137,39.3441871,10.3483472,9.23906494,5.2815,13.06654782,13.83141313,13.60558096,19.6366659,6.29380696,15.99346461,5.57779228,13.09550105
138,39.3441871,10.3483472,9.29150534,5.2815,13.16460422,13.97225813,13.70313336,19.6649199,6.36388846,16.04483161,5.58838698,13.16727405
139,39.3441871,10.3483472,9.34408144,5.2815,13.20978862,14.18040513,13.78741576,19.6972684,6.37928656,16.06473171,5.59208116,13.22071655
140,39.3441871,10.3483472,9.39433844,5.2815,13.22713232,14.23347443,13.94416476,19.7608631,6.40167066,16.22690371,5.60155456,13.26075595
141,39.3441871,10.3483472,9.42855004,5.2815,13.30102212,14.29727293,14.09897976,19.9338101,6.43120276,16.30834281,5.61415226,13.28614465
142,39.3441871,10.3483472,9.51615334,5.2815,13.33995132,14.50783193,14.16938786,19.9745374,6.46281496,16.31943061,5.63669806,13.33738185
143,39.3441871,10.3483472,9.55687094,5.2815,13.40859892,14.53915153,14.32879686,20.5595484,6.50554306,16.34589601,5.66743846,13.39697065
144,39.3441871,10.3483472,9.59564974,5.2815,13.44013712,14.61759813,14.43718386,20.8937124,6.53447836,16.42778511,5.69147526,13.57477765
145,39.3441871,10.3483472,9.65710814,5.2815,13.46689392,14.66101253,14.50703896,20.9389894,6.60677116,16.43671011,5.70120839,13.79790365
146,39.3441871,10.3483472,9.69732234,5.2815,13.48077442,14.74461563,14.62334396,21.023498,6.68489586,16.50344171,5.71223669,14.67416365
147,39.3441871,10.3483472,9.72377484,5.2815,14.07797342,14.75932603,14.73502996,21.089156,6.77174556,17.04436071,5.72266619,15.49150965
148,39.3441871,10.3483472,9.77144584,5.2815,14.39100342,14.81072563,14.93795396,21.1709469,6.86125376,17.56830571,5.72896697,15.88167065
149,39.3441871,10.3483472,9.79608014,5.2815,14.45671142,15.02145063,15.06980296,21.2772089,6.88312166,18.12177371,5.75477287,16.13236265
150,39.3441871,10.3483472,9.80776894,5.2815,14.51491862,15.06617123,15.17937196,21.5067279,6.90240836,18.44814071,5.79480317,16.24508765
151,39.3441871,10.3483472,9.83437754,5.2815,14.99311362,15.08590493,15.27943396,21.8237829,6.91899406,18.81349271,5.82177867,16.45862465
152,39.3441871,10.3483472,9.89937334,5.2815,15.36175562,15.13186633,15.29137576,21.8983195,6.97574246,18.96135571,5.84678967,16.52287325
153,39.3441871,10.3483472,9.90638656,5.2815,15.83832062,15.24801733,15.32156456,21.9464062,7.01302506,19.05598831,5.87385157,16.64591825
154,39.3441871,10.3483472,10.01803956,5.2815,16.11022962,15.28209733,15.41201466,22.0058364,7.02611476,19.08855271,5.89398497,16.71489315
155,39.3441871,10.3483472,10.11281056,5.2815,16.30859862,15.30884713,15.55379366,22.0805041,7.06772746,19.15067731,5.91052157,16.74401485
156,39.3441871,10.3483472,10.12246662,5.2815,16.53957462,15.82023313,15.77931766,22.1404592,7.17126146,19.18192381,5.92217837,16.80163525
157,39.3441871,10.3483472,10.17011332,5.2815,16.79882462,15.90081603,15.78870347,22.1759515,7.22864436,19.18599992,5.92367909,16.88990245
158,39.3441871,10.3483472,10.20653402,5.2815,16.94144262,15.94813523,15.85576107,22.2317546,7.26235186,19.19626162,5.93573729,16.90312645
159,39.3441871,10.3483472,10.24473872,5.2815,17.12335362,16.05073723,15.98623307,22.3094901,7.32195166,19.22388272,5.96175539,16.93919565
160,39.3441871,10.3483472,10.29364122,5.2815,17.33950062,16.11119433,16.07151577,22.3889832,7.34909636,19.30725062,5.98827539,16.95163055
161,39.3441871,10.3483472,10.36005102,5.2815,17.41801012,16.20441353,16.21627277,22.4661908,7.42251896,19.31974452,6.00286959,17.02735885
162,39.3441871,10.3483472,10.40777242,5.2815,17.47873152,16.30519553,16.43730477,22.484647,7.45508726,19.41171232,6.01886639,17.13159085
163,39.3441871,10.3483472,10.44670842,5.2815,17.48394616,16.47034653,16.71576377,22.667376,7.46914176,19.47603182,6.04656639,17.16473745
164,39.3441871,10.3483472,10.50036452,5.2815,17.67617216,16.65106153,16.85729377,22.805131,7.49074886,19.52382872,6.06203499,17.19298695
165,39.3441871,10.3483472,10.55365842,5.2815,17.68296449,16.91737553,16.87584237,23.277707,7.53464856,19.55089212,6.06416977,17.26034235
166,39.3441871,10.3483472,10.64438282,5.2815,17.76490439,16.98855133,16.98609937,23.673617,7.55839736,19.56229742,6.07689907,17.34282555
167,39.3441871,10.3483472,10.69327182,5.2815,17.82288749,17.00559993,17.08938137,23.77508,7.60965256,19.62708502,6.08719947,17.44360755
168,39.3441871,10.3483472,10.74650652,5.2815,17.89182509,17.24797093,17.12467977,23.7929565,7.70980556,19.65921072,6.09641537,17.46170055
169,39.3441871,10.3483472,10.81957532,5.2815,17.92861609,17.31902933,17.18165667,23.8716893,7.72524656,19.66907503,6.10394813,17.51537755
170,39.3441871,10.3483472,10.85068662,5.2815,18.01827929,17.41676513,17.21887497,23.9925133,7.74084996,19.70194983,6.12197353,17.57746715
171,39.3441871,10.3483472,10.93330052,5.2815,18.04746169,17.54462513,17.39757997,24.1455273,7.76717596,19.80135853,6.14366323,17.59969375
172,39.3441871,10.3483472,11.00065732,5.2815,18.07267749,17.61316503,17.54554597,24.1682697,7.77917826,20.33827053,6.15490423,17.60326576
173,39.3441871,10.3483472,11.03224052,5.2815,18.09642769,17.63664273,17.55036152,24.2164349,7.81884396,20.94002553,6.16414433,17.66014026
174,39.3441871,10.3483472,11.06778942,5.2815,18.17535099,17.73742573,17.59971462,24.3043205,7.85850026,21.49160453,6.17073628,17.72379946
175,39.3441871,10.3483472,11.22446842,5.2815,18.32345499,17.80217123,17.65877582,24.4731705,7.89942086,22.02748053,6.19627008,18.06085946
176,39.3441871,10.3483472,11.27200572,5.2815,18.49654599,17.91733523,17.85073082,24.8356045,7.95493016,22.37714453,6.21817898,18.57972346
177,39.3441871,10.3483472,11.30309412,5.2815,18.62678199,18.00519493,18.06061882,25.1606005,7.97238786,22.47157273,6.23899118,18.75010446
178,39.3441871,10.3483472,11.31865872,5.2815,18.69002079,18.04381103,18.09415472,25.2696415,8.03327116,22.48172143,6.24235359,18.77750436
179,39.3441871,10.3483472,11.37608572,5.2815,18.75208319,18.15824503,18.11706852,25.4469865,8.13981716,22.54047933,6.24818038,18.91260836
180,39.3441871,10.3483472,11.42721642,5.2815,18.95973619,18.27092103,18.15820062,25.8556825,8.16599246,22.57642603,6.25482575,18.93665586
