"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"87",3.61005152,2.075755096,14.58622429,1.325966196,3.38876715,25.48203729,24.24883696,2.313094306,3.16866629,2.95809232,41.49520545,2.83241166
"88",3.6130954,2.144870396,15.97395429,1.333992016,3.397464,27.25269729,24.32691716,2.351915606,3.17845991,2.97028932,41.84758745,2.83829277
"89",3.6455052,2.166766896,17.08798429,1.341202466,3.415424,28.63065729,24.37194336,2.399759506,3.21658701,3.00950252,42.36187645,2.85114337
"90",3.6586995,2.177448396,18.01823129,1.348412916,3.4584712,30.01347729,24.55112236,2.409313576,3.22748431,3.02283902,42.80683845,2.89712467
"91",3.729914,2.186566496,18.84485329,1.349977526,3.5141385,30.72569529,24.96483836,2.426587676,3.23326762,3.02283902,43.27946745,2.93120897
"92",3.8169519,2.200989496,19.52569429,1.349977526,3.52119919,31.85708529,25.05113416,2.489925876,3.29156962,3.05126692,43.86318945,2.96838627
"93",3.8740217,2.217712296,20.63853429,1.358998056,3.54427059,32.49297929,25.32794416,2.517992976,3.32295612,3.06780042,44.14056045,2.97774019
"94",3.9142933,2.246260396,21.66912429,1.373700856,3.59175349,32.89084229,25.68179216,2.545093376,3.37732682,3.06780042,44.62257345,3.01430699
"95",3.94133,2.264135096,22.49264229,1.377190396,3.60001061,33.67851929,26.35707116,2.562841776,3.43985112,3.08621352,44.78467145,3.02482339
"96",3.9737772,2.274173996,22.77435129,1.380679936,3.60692667,34.22885129,27.21885516,2.570349316,3.47447632,3.13241692,45.00430045,3.04365669
"97",3.9855281,2.301444396,22.92667429,1.387890386,3.61307627,34.44522429,27.62102316,2.604306216,3.51723372,3.19104852,45.50789545,3.08386919
"98",4.0052962,2.339036596,23.15492429,1.401104486,3.62775137,35.00436429,28.03007916,2.630759616,3.57473962,3.21815702,45.96619445,3.14048269
"99",4.0238325,2.372814896,23.39152029,1.409908076,3.63153433,35.23289329,28.31758016,2.639774766,3.60371012,3.25079852,46.26013445,3.15818959
"100",4.0590037,2.384487496,23.60226529,1.413406006,3.63886941,35.80148129,28.59856016,2.648789916,3.63361862,3.33715162,46.50555645,3.17091209
"101",4.0880334,2.419471196,24.13386629,1.422625846,3.64372302,36.21955029,28.92090616,2.666535416,3.65547342,3.45338362,46.65130345,3.20832839
"102",4.1055697,2.462154996,24.54049429,1.435139746,3.67032812,36.71321829,29.22276716,2.692836816,3.68398902,3.48957692,46.84657745,3.25296419
"103",4.11122313,2.485672796,24.89757829,1.450880146,3.69693322,36.98114029,29.49412016,2.727357516,3.79048302,3.50613362,47.23338045,3.28118969
"104",4.12502773,2.502130396,25.11779329,1.452466896,3.70778522,37.71610629,29.96309016,2.761878216,3.92292102,3.51352545,47.39683545,3.30211549
"105",4.14184593,2.515485296,25.30236329,1.468306896,3.707944438,38.24502529,30.15760416,2.807141716,3.94827412,3.55360375,47.80856445,3.34712389
"106",4.15697223,2.548905696,25.40037539,1.478759796,3.717891108,38.68324829,30.47022616,2.807141716,3.95950102,3.57118695,47.87168665,3.36855959
"107",4.18288063,2.596852596,25.52266039,1.485715226,3.773903508,39.05012529,30.64036916,2.852405216,3.96260485,3.63263715,48.10057865,3.38273459
"108",4.23335343,2.669936596,25.56119029,1.512826326,3.892763508,39.46703629,30.78606116,2.878706616,4.06244035,3.71786005,48.31730365,3.3899001
"109",4.24253433,2.737663096,25.63872199,1.533861726,3.978615308,39.59245429,30.91058916,2.931329516,4.08416995,3.76562275,48.68106965,3.4133619
"110",4.29699043,2.774477396,25.72932439,1.545575726,4.005621908,39.70496829,31.01927016,3.010222416,4.17429715,3.78630005,48.91709365,3.42229161
"111",4.32155503,2.793274696,25.78539439,1.557289726,4.050679608,40.09775229,31.26898716,3.019506946,4.17891818,3.82922945,49.11026565,3.44005221
