"","sample-1","sample-2","sample-3","sample-4","sample-5","sample-6","sample-7","sample-8","sample-9","sample-10","sample-11","sample-12"
"TEMP",1.0875352,0.7787651,0.65557499,6.750959,1.0976676,0.6929123,1.3827219,2.6546698,3.4174606,0.9863377,0.83527286,17.507854
"TEMP",1.0305629,0.7334578,0.73582339,6.42722,1.170759,0.6996246,1.4004995,3.2576778,3.1156746,0.8148045,0.87103796,18.47291
"TEMP",0.9628822,0.928199,0.80080939,6.483592,1.1619417,0.6889986,1.2238402,3.9417628,2.499111,0.7159361,0.68328556,19.3329
"TEMP",1.0771132,1.1024741,0.78687929,5.761575,1.2239234,0.8073616,1.1781125,4.562472,2.6190354,0.8957906,0.69647806,23.08763
"TEMP",1.1917462,1.1118458,0.81142929,4.995595,1.4576216,0.9968372,1.2831225,5.215502,2.556609,0.9404712,0.85733566,24.90858
"TEMP",1.1814312,1.1551028,0.78563289,4.678702,1.4362876,1.1770297,1.4538985,6.085747,2.1025936,0.8935596,0.96436036,24.788673
"TEMP",1.4046412,1.2345707,0.87792309,4.435138,1.3948506,1.3592196,1.4585405,7.224253,2.0462006,0.9719667,1.33312076,22.000103
"TEMP",1.5520266,1.1928755,0.80018339,3.411551,1.3687099,1.4362953,1.7725115,8.010151,1.9940636,0.9277137,1.4748931,19.211533
"TEMP",1.5184433,1.1947785,0.75874159,3.2925834,1.1457522,1.3804308,1.6375185,9.037636,1.8369236,0.9834982,1.4485984,19.211533
"TEMP",1.4527099,1.3080543,0.8015557,2.9705547,1.0868508,1.3706337,1.6547993,9.497132,1.4089973,1.0196697,1.42162,14.975163
"TEMP",1.5508877,1.3764695,0.680273,2.2910177,1.1633995,1.3700947,1.5505211,10.24916,1.2055293,1.1518064,1.3615111,14.16088
"TEMP",1.5082853,1.3854136,0.6231363,2.0827517,1.1565985,1.4019483,1.6168256,11.121869,1.1929873,1.3191956,1.3924918,13.03477
"TEMP",1.706449,1.3003486,0.595263,1.9122897,1.1738745,1.3509953,1.6362924,10.62496,1.1734767,1.3325622,1.4782332,10.955827
"TEMP",1.629581,1.1924406,0.6043871,1.8973997,1.0424154,1.2864732,1.6796821,11.40435,1.0910937,1.2069024,1.4312951,10.813717
"TEMP",1.561169,1.2885889,0.6024132,1.8651897,0.8964744,1.1754422,1.4491728,11.273326,1.1562427,1.2598884,1.2281774,6.261733
"TEMP",1.606896,1.3515459,0.629151,1.6886111,0.8507014,0.9935054,1.2110858,10.895714,1.1609945,1.377132,1.1879294,7.196729
"TEMP",1.3501172,1.5132919,0.69045,1.4248614,1.0270014,0.8729014,1.2466268,10.634914,1.0692745,1.519097,0.8310411,9.633219
"TEMP",1.1786776,1.5172023,0.8287197,1.3017272,1.1232861,0.8243614,0.9330116,10.016257,1.0974955,1.458788,0.7468105,11.629089
"TEMP",1.1406437,1.4054639,0.9004732,1.4146228,1.1703931,0.9348358,0.8550511,9.958057,1.0606053,1.4046296,0.8136848,12.076875
"TEMP",1.2658521,1.4339439,0.8992677,1.4796676,1.1341457,0.9773359,0.9252253,9.775733,1.0835804,1.3671798,0.8829692,12.485737
"TEMP",1.2251721,1.3986306,0.9936584,1.3174122,1.3517347,0.9610229,1.0388095,9.436626,1.1762484,1.2547341,0.8368946,12.990602
"TEMP",1.4055308,1.4338888,0.9566371,1.1699542,1.6968387,0.9330907,0.990189,9.504206,1.2838874,1.0799901,0.8330816,13.683343
"TEMP",1.3177108,1.3687865,0.87535412,1.3699962,1.8026484,1.0075868,1.1013005,9.133746,1.2827733,1.1879009,0.7872675,13.905879
"TEMP",1.1747583,1.3160821,0.81363212,1.3485682,1.796367,0.9645688,1.0406125,8.560218,1.4630563,1.2970577,0.9435908,9.012956
"TEMP",1.0997448,1.2817426,0.88503852,2.0035582,1.943645,0.8978595,1.1325868,7.920859,1.5980537,1.1606305,1.0603835,8.61586
"TEMP",0.95993352,1.0317196,1.15755162,2.3120518,2.105557,0.9758785,1.110267,7.377756,1.6585823,1.2032785,0.9460824,8.256726
"TEMP",0.90352052,0.7887479,1.19489162,2.5725605,1.8785711,0.9640895,1.06823,6.484886,1.7284243,1.1397775,0.9209727,6.713012
"TEMP",0.87929612,0.8161434,1.10937282,3.0475507,1.8325561,1.1618595,1.2751562,6.122026,1.9018543,1.2808975,0.9182537,4.843816
"TEMP",0.89648412,0.9837068,1.15190382,3.1707667,1.9666728,1.3731455,1.3081103,5.399915,2.2201735,1.3675899,0.9449827,4.694204
"TEMP",0.83241112,1.0426328,1.29608992,3.3262696,2.0422386,1.3059292,1.4418033,4.5663327,2.1702738,1.5814721,0.8629944,4.830081
"TEMP",0.76328602,1.0779571,1.24323912,3.309574,1.7820045,1.2765279,1.5115723,3.9924147,1.9779427,1.6123389,0.9800039,4.3544767
"TEMP",0.77184902,1.0208761,1.24702282,3.2522816,1.4220176,1.2283752,1.5375358,2.3570227,1.9566067,1.8148629,1.0502659,4.2841877
"TEMP",0.67176312,1.0899504,1.3045006,3.1269556,1.2855614,1.1784144,1.5467208,2.2851767,1.997946,1.742946,1.0089187,4.2979857
"TEMP",0.76076362,1.1122602,1.3472399,3.027355,1.4030929,1.2050361,1.6878928,1.4175391,1.825319,1.69259,0.9651107,4.0530363
"TEMP",0.69990862,1.1125333,1.4856749,2.347155,1.1626001,1.2375954,1.7991978,1.4533861,1.718417,1.8426292,0.8503006,3.6593087
"TEMP",0.7401656,1.061341,1.2783819,1.9977191,1.0811251,1.4611962,1.9615826,1.3738113,1.6526448,1.8160012,0.9848547,3.5583087
"TEMP",0.8036726,1.2081917,1.2458479,1.8134151,1.293679,1.4440384,1.9253869,1.3543833,1.5700645,1.6794465,1.1444417,2.8795777
"TEMP",0.8226737,1.1960743,1.1814971,1.5078521,1.1785352,1.2598714,1.8619729,1.2967053,1.4760205,1.6104175,1.2294553,2.8051587
"TEMP",0.8640458,1.0853836,1.2062801,1.4175511,1.1543412,1.0828494,1.9729863,1.2322583,1.1191392,1.4965328,1.1890903,2.8760237
"TEMP",0.8040607,1.0229736,1.2008991,1.2272997,1.1347022,1.2221627,1.79546,1.3470196,1.3785361,1.2917146,1.2584116,2.3958564
"TEMP",0.8234054,1.1713526,1.3678209,1.3443327,1.1286276,1.1822068,1.6399276,1.2332956,1.4314192,1.2959485,1.1216308,2.5054697
"TEMP",0.6788866,2.1991386,1.4823622,1.5170351,1.057838,1.3875267,1.5864013,1.2012536,1.280672,1.0711992,0.9686007,2.2489677
"TEMP",0.7597975,2.4705886,1.509574,1.4836441,1.071856,1.4616776,1.5830763,1.1281865,1.2349637,1.1445611,0.93559728,2.2524757
"TEMP",0.7531825,2.6744052,1.5881127,1.6223217,1.120102,1.522841,1.4864103,1.1779949,1.18131,1.1007445,0.88146538,2.3936001
"TEMP",0.7723943,2.6753362,1.4459887,1.8120677,1.1884446,1.553021,1.4297983,1.1494459,1.254221,1.0603215,0.97810748,3.0163277
"TEMP",0.8293176,2.8048125,1.3483979,1.9077576,0.9774349,1.2834462,1.3515823,1.3592847,1.3135802,0.9742745,0.89176828,3.5230157
"TEMP",0.7854754,2.7497685,1.2395219,1.7982388,0.7610184,1.2770389,1.3138229,1.2786071,1.3281385,1.0514942,0.73132348,3.3944903
"TEMP",0.8222222,2.7725889,1.3223423,1.6444198,0.7456017,1.3882439,1.2574399,1.2599221,1.1302764,1.0482372,0.76574248,3.3853393
"TEMP",0.795056,2.9388546,1.2018583,1.7030338,0.6731577,1.4740259,1.4833809,1.1590991,1.1417711,1.1010129,0.73713418,3.2316773
"TEMP",0.843532,2.9167546,1.01851355,1.8397462,0.7719857,1.3987239,2.5818562,1.1994611,1.0940451,1.3818441,0.71884618,3.3279466
"TEMP",0.7980118,2.8018266,1.27493855,1.68716191,0.8019964,1.4742821,3.2550696,1.4294941,1.0812653,1.4247361,0.89170498,3.4297596
"TEMP",0.8539966,1.8201636,1.68469755,1.50371301,0.8139278,1.3915271,4.8802599,1.3438466,1.1381965,1.4241603,0.98274108,3.4969676
"TEMP",0.8214816,1.4848871,1.81319925,1.3251712,0.920728,1.3350913,5.5778529,1.3859448,1.2272678,1.3838393,1.1683018,3.8603376
"TEMP",0.7530249,1.2434496,1.77010025,1.3135732,0.867902,1.2956478,5.7650749,1.3593368,1.2706585,1.3648208,1.1623824,4.1599386
"TEMP",0.8272716,1.389697,1.89162325,1.2790842,0.8403398,1.175073,5.9125669,1.3014459,1.2260445,1.2586532,1.1087231,3.8341886
"TEMP",0.793971,1.413,1.89197045,1.5437372,0.9396295,1.1540355,6.9373129,1.0288162,1.1072345,1.2141385,1.0778832,2.9936596
"TEMP",0.7652613,1.3600471,1.78015375,2.132022,1.091695,1.1664153,7.952489,1.2656048,1.2099035,1.3995895,1.1168277,3.111039
"TEMP",0.7874084,1.4275001,1.83219195,2.577351,1.1471228,0.9263785,8.145436,1.2837322,1.2257596,1.5785615,1.1169087,3.453268
"TEMP",0.8153742,1.2172086,1.88463795,2.562278,1.1664258,0.7935835,8.838318,1.2419042,1.4041342,1.5639855,1.0855639,3.43929
"TEMP",0.805757,1.3248116,2.0330187,2.769664,1.0944128,0.8083965,7.7449583,1.3371372,1.4713482,1.3135547,0.9984337,3.633354
"TEMP",0.8596826,1.3282886,1.7244927,3.05465229,1.2570838,0.9399315,7.5236263,1.1610349,1.511385,1.2486918,0.8953533,3.60978
"TEMP",0.8907156,1.4987416,1.3578267,3.14923719,1.3296999,0.9190635,6.3108873,1.190901,1.613139,1.2828802,0.8258466,3.365555
"TEMP",0.77921242,1.5173151,1.2253506,3.798477,1.3444129,0.9168937,6.2589643,1.4357779,1.668094,1.2017924,0.6652573,2.88796
